"Genotype" "Background" "Background.simple" "Treatment" "Treatment.V" "Chamber.ID" "Chamber.Irradiance" "Vernalization" "Daylength" "Temperature" "Fluctuation" "Survival.Bolt" "Bolt" "Days.to.Bolt" "Days.to.Flower" "Rosette.leaf.num" "Cauline.leaf.num" "Blade.length.mm" "Total.leaf.length.mm" "Blade.ratio"
"963" "cry2-1" "Col-4" "Col" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "89" "109" "54" "10" "20.4" "33.5" 0.608955224
"964" "cry2-1" "Col-4" "Col" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "92" "110" "57" "9" "25.5" "32.8" 0.777439024
"965" "cry2-1" "Col-4" "Col" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "94" "115" "61" "9" "21.5" "33.4" 0.643712575
"966" "cry2-1" "Col-4" "Col" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "95" "117" "67" "9" "26.4" "45.3" 0.582781457
"967" "cry2-1" "Col-4" "Col" "12VarLD" "12VarLDNV" "3B" "High" "NV" "16" "12" "Var" "Y" "Y" "47" "59" "32" "9" "20.9" "36.9" 0.566395664
"968" "cry2-1" "Col-4" "Col" "12VarLD" "12VarLDNV" "3B" "High" "NV" "16" "12" "Var" "Y" "Y" "48" "61" "33" "10" "20.5" "35.1" 0.584045584
"969" "cry2-1" "Col-4" "Col" "12VarLD" "12VarLDNV" "3B" "High" "NV" "16" "12" "Var" "Y" "Y" "48" "61" "36" "6" "23.1" "36.6" 0.631147541
"970" "cry2-1" "Col-4" "Col" "12VarLD" "12VarLDNV" "3B" "High" "NV" "16" "12" "Var" "Y" "Y" "51" "63" "38" "10" "23.4" "36.5" 0.64109589
"971" "cry2-1" "Col-4" "Col" "12VarLD" "12VarLDNV" "5B" "Low" "NV" "16" "12" "Var" "Y" "Y" "53" "66" "36" "9" "20.4" "35.9" 0.568245125
"972" "cry2-1" "Col-4" "Col" "12VarLD" "12VarLDNV" "5B" "Low" "NV" "16" "12" "Var" "Y" "Y" "53" "65" "36" "10" "23.5" "36.5" 0.643835616
"973" "cry2-1" "Col-4" "Col" "12VarLD" "12VarLDNV" "5B" "Low" "NV" "16" "12" "Var" "Y" "Y" "55" "67" "34" "11" "24.1" "38.4" 0.627604167
"974" "cry2-1" "Col-4" "Col" "12VarLD" "12VarLDNV" "5B" "Low" "NV" "16" "12" "Var" "Y" "Y" "56" "70" "44" "7" "29.7" "52.6" 0.564638783
"975" "cry2-1" "Col-4" "Col" "12VarSD" "12VarSDNV" "4B" "High" "NV" "8" "12" "Var" "Y" "Y" "73" "92" "43" "7" "22.7" "35.8" 0.634078212
"976" "cry2-1" "Col-4" "Col" "12VarSD" "12VarSDNV" "4B" "High" "NV" "8" "12" "Var" "Y" "Y" "74" "95" "50" "8" "21.3" "34.7" 0.613832853
"977" "cry2-1" "Col-4" "Col" "12VarSD" "12VarSDNV" "5T" "Low" "NV" "8" "12" "Var" "Y" "Y" "78" "98" "54" "7" "25.5" "39" 0.653846154
"978" "cry2-1" "Col-4" "Col" "12VarSD" "12VarSDNV" "4B" "High" "NV" "8" "12" "Var" "Y" "Y" "79" "97" "59" "8" "28.9" "41.8" 0.69138756
"979" "cry2-1" "Col-4" "Col" "12VarSD" "12VarSDNV" "4B" "High" "NV" "8" "12" "Var" "Y" "Y" "80" "96" "50" "9" "19.6" "33.3" 0.588588589
"980" "cry2-1" "Col-4" "Col" "12VarSD" "12VarSDNV" "5T" "Low" "NV" "8" "12" "Var" "Y" "Y" "84" "104" "54" "10" "20.3" "38.1" 0.532808399
"981" "cry2-1" "Col-4" "Col" "12VarSD" "12VarSDNV" "5T" "Low" "NV" "8" "12" "Var" "Y" "Y" "85" "104" "44" "10" "23.7" "35.6" 0.665730337
"982" "cry2-1" "Col-4" "Col" "12VarSD" "12VarSDNV" "5T" "Low" "NV" "8" "12" "Var" "Y" "Y" "86" "106" "53" "9" "23.1" "37.7" 0.612732095
"983" "cry2-1" "Col-4" "Col" "22ConLD" "22ConLDNV" "2B" "High" "NV" "16" "22" "Con" "Y" "Y" "23" "30" "14" "4" "15.3" "26.2" 0.583969466
"984" "cry2-1" "Col-4" "Col" "22ConLD" "22ConLDNV" "2B" "High" "NV" "16" "22" "Con" "Y" "Y" "23" "30" "13" "4" "17.2" "26.8" 0.641791045
"985" "cry2-1" "Col-4" "Col" "22ConLD" "22ConLDNV" "2B" "High" "NV" "16" "22" "Con" "Y" "Y" "25" "30" "15" "5" "18.9" "32.2" 0.586956522
"986" "cry2-1" "Col-4" "Col" "22ConLD" "22ConLDNV" "2B" "High" "NV" "16" "22" "Con" "Y" "Y" "27" "32" "17" "5" "20.4" "36" 0.566666667
"987" "cry2-1" "Col-4" "Col" "22ConLD" "22ConLDNV" "5B" "Low" "NV" "16" "22" "Con" "Y" "Y" "31" "37" "24" NA NA NA NA
"988" "cry2-1" "Col-4" "Col" "22ConLD" "22ConLDNV" "5B" "Low" "NV" "16" "22" "Con" "Y" "Y" "34" "39" "25" "6" NA NA NA
"989" "cry2-1" "Col-4" "Col" "22ConLD" "22ConLDNV" "5B" "Low" "NV" "16" "22" "Con" "Y" "Y" "35" "40" "25" "6" NA NA NA
"990" "cry2-1" "Col-4" "Col" "22ConLD" "22ConLDNV" "5B" "Low" "NV" "16" "22" "Con" "Y" "Y" "36" "40" "23" "5" NA NA NA
"991" "cry2-1" "Col-4" "Col" "22ConSD" "22ConSDNV" "4T" "High" "NV" "8" "22" "Con" "Y" "Y" "60" "68" "36" "7" NA NA NA
"992" "cry2-1" "Col-4" "Col" "22ConSD" "22ConSDNV" "4T" "High" "NV" "8" "22" "Con" "Y" "Y" "61" "68" "32" "5" NA NA NA
"993" "cry2-1" "Col-4" "Col" "22ConSD" "22ConSDNV" "2T" "High" "NV" "8" "22" "Con" "Y" "Y" "62" "69" "43" "10" NA NA NA
"994" "cry2-1" "Col-4" "Col" "22ConSD" "22ConSDNV" "4T" "High" "NV" "8" "22" "Con" "Y" "Y" "64" "71" "41" "6" NA NA NA
"995" "cry2-1" "Col-4" "Col" "22ConSD" "22ConSDNV" "2T" "High" "NV" "8" "22" "Con" "Y" "Y" "64" "70" "42" "9" NA NA NA
"996" "cry2-1" "Col-4" "Col" "22ConSD" "22ConSDNV" "6T" "Low" "NV" "8" "22" "Con" "Y" "Y" "65" "73" "46" "10" "22.8" "38.9" 0.586118252
"997" "cry2-1" "Col-4" "Col" "22ConSD" "22ConSDNV" "6T" "Low" "NV" "8" "22" "Con" "Y" "Y" "66" "73" "50" "11" "30.1" "50.8" 0.592519685
"998" "cry2-1" "Col-4" "Col" "22ConSD" "22ConSDNV" "2T" "High" "NV" "8" "22" "Con" "Y" "Y" "68" "74" "38" "9" NA NA NA
"999" "cry2-1" "Col-4" "Col" "22ConSD" "22ConSDNV" "2T" "High" "NV" "8" "22" "Con" "Y" "Y" "69" "76" "48" "8" NA NA NA
"1000" "cry2-1" "Col-4" "Col" "22ConSD" "22ConSDNV" "6T" "Low" "NV" "8" "22" "Con" "Y" "Y" "71" NA NA NA "25.3" "44.9" 0.563474388
"1001" "cry2-1" "Col-4" "Col" "22ConSD" "22ConSDNV" "4T" "High" "NV" "8" "22" "Con" "Y" "Y" "74" "82" "47" "8" NA NA NA
"1002" "cry2-1" "Col-4" "Col" "22ConSD" "22ConSDNV" "6T" "Low" "NV" "8" "22" "Con" "Y" "Y" "75" "83" "49" "10" "20" "39.5" 0.506329114
"1003" "cry2-1" "Col-4" "Col" "22VarLD" "22VarLDNV" "2T" "High" "NV" "16" "22" "Var" "Y" "Y" "20" "28" "10" "1" "10.8" "22" 0.490909091
"1004" "cry2-1" "Col-4" "Col" "22VarLD" "22VarLDNV" "2T" "High" "NV" "16" "22" "Var" "Y" "Y" "23" "29" "8" "2" "10.7" "25.6" 0.41796875
"1005" "cry2-1" "Col-4" "Col" "22VarLD" "22VarLDNV" "7B" "Low" "NV" "16" "22" "Var" "Y" "Y" "23" "30" "9" "2" NA NA NA
"1006" "cry2-1" "Col-4" "Col" "22VarLD" "22VarLDNV" "2T" "High" "NV" "16" "22" "Var" "Y" "Y" "25" "32" "12" "2" "19" "38.5" 0.493506494
"1007" "cry2-1" "Col-4" "Col" "22VarLD" "22VarLDNV" "2T" "High" "NV" "16" "22" "Var" "Y" "Y" "25" "31" "10" "2" "15.9" "29.4" 0.540816327
"1008" "cry2-1" "Col-4" "Col" "22VarLD" "22VarLDNV" "7B" "Low" "NV" "16" "22" "Var" "Y" "Y" "25" "33" "10" "2" NA NA NA
"1009" "cry2-1" "Col-4" "Col" "22VarLD" "22VarLDNV" "7B" "Low" "NV" "16" "22" "Var" "Y" "Y" "25" "31" "10" "2" NA NA NA
"1010" "cry2-1" "Col-4" "Col" "22VarLD" "22VarLDNV" "7B" "Low" "NV" "16" "22" "Var" "Y" "Y" "26" "33" "10" "2" NA NA NA
"1011" "cry2-1" "Col-4" "Col" "22VarSD" "22VarSDNV" "3B" "High" "NV" "8" "22" "Var" "Y" "Y" "54" "60" "30" "6" NA NA NA
"1012" "cry2-1" "Col-4" "Col" "22VarSD" "22VarSDNV" "3B" "High" "NV" "8" "22" "Var" "Y" "Y" "55" "61" "31" "6" NA NA NA
"1013" "cry2-1" "Col-4" "Col" "22VarSD" "22VarSDNV" "3B" "High" "NV" "8" "22" "Var" "Y" "Y" "55" "63" "33" "9" NA NA NA
"1014" "cry2-1" "Col-4" "Col" "22VarSD" "22VarSDNV" "6B" "Low" "NV" "8" "22" "Var" "Y" "Y" "56" "65" "28" "3" "34.3" "58.6" 0.585324232
"1015" "cry2-1" "Col-4" "Col" "22VarSD" "22VarSDNV" "3B" "High" "NV" "8" "22" "Var" "Y" "Y" "58" "66" "39" "8" NA NA NA
"1016" "cry2-1" "Col-4" "Col" "22VarSD" "22VarSDNV" "6B" "Low" "NV" "8" "22" "Var" "Y" "Y" "61" "67" "34" "6" "29.9" "52.3" 0.571701721
"1017" "cry2-1" "Col-4" "Col" "22VarSD" "22VarSDNV" "6B" "Low" "NV" "8" "22" "Var" "Y" "Y" "65" "73" "37" "7" "31.6" "49.6" 0.637096774
"1018" "cry2-1" "Col-4" "Col" "22VarSD" "22VarSDNV" "6B" "Low" "NV" "8" "22" "Var" "Y" "Y" "68" "74" "51" "6" "30.3" "48.6" 0.62345679
"1019" "fca-6" "Ler" "Ler" "12ConLD" "12ConLDNV" "4T" "High" "NV" "16" "12" "Con" "Y" "Y" "39" "53" "27" "10" "16.1" "26" 0.619230769
"1020" "fca-6" "Ler" "Ler" "12ConLD" "12ConLDNV" "4T" "High" "NV" "16" "12" "Con" "Y" "Y" "40" "53" "28" "11" "19.2" "29.2" 0.657534247
"1021" "fca-6" "Ler" "Ler" "12ConLD" "12ConLDNV" "4T" "High" "NV" "16" "12" "Con" "Y" "Y" "41" "55" "27" "9" "15.9" "25.5" 0.623529412
"1022" "fca-6" "Ler" "Ler" "12ConLD" "12ConLDNV" "4T" "High" "NV" "16" "12" "Con" "Y" "Y" "41" "58" "34" "10" "19.7" "35.6" 0.553370787
"1023" "fca-6" "Ler" "Ler" "12ConLD" "12ConLDNV" "7B" "Low" "NV" "16" "12" "Con" "Y" "Y" "43" "58" "24" "8" "14.1" "23.6" 0.597457627
"1024" "fca-6" "Ler" "Ler" "12ConLD" "12ConLDNV" "7B" "Low" "NV" "16" "12" "Con" "Y" "Y" "44" "59" "25" "10" "18.3" "30.8" 0.594155844
"1025" "fca-6" "Ler" "Ler" "12ConLD" "12ConLDNV" "7B" "Low" "NV" "16" "12" "Con" "Y" "Y" "44" "58" "24" "11" "14.9" "25.4" 0.586614173
"1026" "fca-6" "Ler" "Ler" "12ConLD" "12ConLDNV" "7B" "Low" "NV" "16" "12" "Con" "Y" "Y" "45" "61" "26" "12" "17.1" "27.6" 0.619565217
"1027" "fca-6" "Ler" "Ler" "12ConSD" "12ConSDNV" "3T" "High" "NV" "8" "12" "Con" "Y" "Y" "64" "83" "44" "11" "19" "27.9" 0.681003584
"1028" "fca-6" "Ler" "Ler" "12ConSD" "12ConSDNV" "3T" "High" "NV" "8" "12" "Con" "Y" "Y" "66" "86" "42" "9" "18.9" "25.6" 0.73828125
"1029" "fca-6" "Ler" "Ler" "12ConSD" "12ConSDNV" "3T" "High" "NV" "8" "12" "Con" "Y" "Y" "67" "89" "42" "10" "20.1" "30.7" 0.654723127
"1030" "fca-6" "Ler" "Ler" "12ConSD" "12ConSDNV" "3T" "High" "NV" "8" "12" "Con" "Y" "Y" "68" "89" "49" "10" "19.4" "31.3" 0.619808307
"1031" "fca-6" "Ler" "Ler" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "81" "106" "42" "11" "22.6" "36.6" 0.617486339
"1032" "fca-6" "Ler" "Ler" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "83" "109" "46" "9" "21.3" "32.9" 0.647416413
"1033" "fca-6" "Ler" "Ler" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "84" "109" "46" "10" "20.2" "31.6" 0.639240506
"1034" "fca-6" "Ler" "Ler" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "86" "108" "49" "12" "31.2" "45.4" 0.68722467
"1035" "fca-6" "Ler" "Ler" "12VarLD" "12VarLDNV" "3B" "High" "NV" "16" "12" "Var" "Y" "Y" "38" "53" "24" "9" "15.5" "24.3" 0.637860082
"1036" "fca-6" "Ler" "Ler" "12VarLD" "12VarLDNV" "3B" "High" "NV" "16" "12" "Var" "Y" "Y" "39" "54" "24" "10" "17.6" "29.5" 0.596610169
"1037" "forward" "date" "one" "day" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" NA
"1038" "fca-6" "Ler" "Ler" "12VarLD" "12VarLDNV" "3B" "High" "NV" "16" "12" "Var" "Y" "Y" "40" "55" "26" "10" "17.2" "29.3" 0.587030717
"1039" "fca-6" "Ler" "Ler" "12VarLD" "12VarLDNV" "5B" "Low" "NV" "16" "12" "Var" "Y" "Y" "42" "56" "26" "10" "25.5" "40.6" 0.628078818
"1040" "fca-6" "Ler" "Ler" "12VarLD" "12VarLDNV" "5B" "Low" "NV" "16" "12" "Var" "Y" "Y" "43" "58" "28" "11" "8.1" "30.6" 0.264705882
"1041" "fca-6" "Ler" "Ler" "12VarLD" "12VarLDNV" "5B" "Low" "NV" "16" "12" "Var" "Y" "Y" "43" "57" "27" "11" "18.7" "31.2" 0.599358974
"1042" "fca-6" "Ler" "Ler" "12VarLD" "12VarLDNV" "5B" "Low" "NV" "16" "12" "Var" "Y" "Y" "44" "62" "31" "10" "17" "30" 0.566666667
"1043" "fca-6" "Ler" "Ler" "12VarLD" "12VarLDNV" "3B" "High" "NV" "16" "12" "Var" "Y" "Y" "45" "57" "21" "12" "16.8" "25.4" 0.661417323
"1044" "fca-6" "Ler" "Ler" "12VarSD" "12VarSDNV" "4B" "High" "NV" "8" "12" "Var" "Y" "Y" "65" "87" "46" "11" "22.1" "28.6" 0.772727273
"1045" "fca-6" "Ler" "Ler" "12VarSD" "12VarSDNV" "4B" "High" "NV" "8" "12" "Var" "Y" "Y" "66" "85" "41" "9" "15" "27" 0.555555556
"1046" "fca-6" "Ler" "Ler" "12VarSD" "12VarSDNV" "4B" "High" "NV" "8" "12" "Var" "Y" "Y" "68" "90" "40" "11" "19.6" "21.2" 0.924528302
"1047" "fca-6" "Ler" "Ler" "12VarSD" "12VarSDNV" "4B" "High" "NV" "8" "12" "Var" "Y" "Y" "68" "92" "51" "17" "32" "45.3" 0.706401766
"1048" "fca-6" "Ler" "Ler" "12VarSD" "12VarSDNV" "5T" "Low" "NV" "8" "12" "Var" "Y" "Y" "75" "98" "43" "11" "22" "33.5" 0.656716418
"1049" "fca-6" "Ler" "Ler" "12VarSD" "12VarSDNV" "5T" "Low" "NV" "8" "12" "Var" "Y" "Y" "77" "99" "45" "10" "24.3" "36.7" 0.662125341
"1050" "fca-6" "Ler" "Ler" "12VarSD" "12VarSDNV" "5T" "Low" "NV" "8" "12" "Var" "Y" "Y" "79" "102" "44" "9" "23.9" "36.2" 0.660220994
"1051" "fca-6" "Ler" "Ler" "12VarSD" "12VarSDNV" "5T" "Low" "NV" "8" "12" "Var" "Y" "Y" "79" "100" "49" "10" "25.5" "38.2" 0.667539267
"1052" "fca-6" "Ler" "Ler" "22ConLD" "22ConLDNV" "2B" "High" "NV" "16" "22" "Con" "Y" "Y" "29" "36" "21" "5" "16.9" "27.4" 0.616788321
"1053" "fca-6" "Ler" "Ler" "22ConLD" "22ConLDNV" "2B" "High" "NV" "16" "22" "Con" "Y" "Y" "31" "38" "22" "7" "18.7" "29.2" 0.640410959
"1054" "fca-6" "Ler" "Ler" "22ConLD" "22ConLDNV" "2B" "High" "NV" "16" "22" "Con" "Y" "Y" "32" "38" "24" "7" "15.8" "26.8" 0.589552239
"1055" "fca-6" "Ler" "Ler" "22ConLD" "22ConLDNV" "2B" "High" "NV" "16" "22" "Con" "Y" "Y" "33" "40" "24" "7" "17.8" "29.1" 0.611683849
"1056" "fca-6" "Ler" "Ler" "22ConLD" "22ConLDNV" "5B" "Low" "NV" "16" "22" "Con" "Y" "Y" "33" "40" "25" "7" NA NA NA
"1057" "fca-6" "Ler" "Ler" "22ConLD" "22ConLDNV" "5B" "Low" "NV" "16" "22" "Con" "Y" "Y" "33" "39" "24" "8" NA NA NA
"1058" "fca-6" "Ler" "Ler" "22ConLD" "22ConLDNV" "5B" "Low" "NV" "16" "22" "Con" "Y" "Y" "34" "40" "25" "6" NA NA NA
"1059" "fca-6" "Ler" "Ler" "22ConLD" "22ConLDNV" "5B" "Low" "NV" "16" "22" "Con" "Y" "Y" "40" "45" "27" "8" NA NA NA
"1060" "fca-6" "Ler" "Ler" "22ConSD" "22ConSDNV" "4T" "High" "NV" "8" "22" "Con" "Y" "Y" "105" "112" "75" "11" NA NA NA
"1061" "fca-6" "Ler" "Ler" "22ConSD" "22ConSDNV" "4T" "High" "NV" "8" "22" "Con" "Y" "Y" "115" "122" "58" "8" NA NA NA
"1062" "fca-6" "Ler" "Ler" "22ConSD" "22ConSDNV" "4T" "High" "NV" "8" "22" "Con" "Y" "Y" "130" "142" NA NA NA NA NA
"1063" "fca-6" "Ler" "Ler" "22ConSD" "22ConSDNV" "2T" "High" "NV" "8" "22" "Con" "Y" "Y" "130" "141" NA NA NA NA NA
"1064" "fca-6" "Ler" "Ler" "22ConSD" "22ConSDNV" "4T" "High" "NV" "8" "22" "Con" "Y" "N" "162" NA NA NA NA NA NA
"1065" "fca-6" "Ler" "Ler" "22ConSD" "22ConSDNV" "2T" "High" "NV" "8" "22" "Con" "Y" "N" "162" NA NA NA NA NA NA
"1066" "fca-6" "Ler" "Ler" "22ConSD" "22ConSDNV" "2T" "High" "NV" "8" "22" "Con" "Y" "N" "162" NA NA NA NA NA NA
"1067" "fca-6" "Ler" "Ler" "22ConSD" "22ConSDNV" "2T" "High" "NV" "8" "22" "Con" "Y" "N" "162" NA NA NA NA NA NA
"1068" "fca-6" "Ler" "Ler" "22VarLD" "22VarLDNV" "2T" "High" "NV" "16" "22" "Var" "Y" "Y" "28" "36" "14" "4" "14.9" "22.5" 0.662222222
"1069" "fca-6" "Ler" "Ler" "22VarLD" "22VarLDNV" "7B" "Low" "NV" "16" "22" "Var" "Y" "Y" "28" "35" "13" "2" NA NA NA
"1070" "fca-6" "Ler" "Ler" "22VarLD" "22VarLDNV" "7B" "Low" "NV" "16" "22" "Var" "Y" "Y" "28" "35" "11" NA NA NA NA
"1071" "fca-6" "Ler" "Ler" "22VarLD" "22VarLDNV" "2T" "High" "NV" "16" "22" "Var" "Y" "Y" "29" "36" "13" "3" "14.3" "27.2" 0.525735294
"1072" "fca-6" "Ler" "Ler" "22VarLD" "22VarLDNV" "2T" "High" "NV" "16" "22" "Var" "Y" "Y" "29" "36" "14" "4" "14.1" "26.1" 0.540229885
"1073" "fca-6" "Ler" "Ler" "22VarLD" "22VarLDNV" "7B" "Low" "NV" "16" "22" "Var" "Y" "Y" "29" "36" "11" "2" NA NA NA
"1074" "fca-6" "Ler" "Ler" "22VarLD" "22VarLDNV" "2T" "High" "NV" "16" "22" "Var" "Y" "Y" "30" "37" "13" "3" "15.4" "27.9" 0.551971326
"1075" "fca-6" "Ler" "Ler" "22VarLD" "22VarLDNV" "7B" "Low" "NV" "16" "22" "Var" "Y" "Y" "32" "36" "12" "3" NA NA NA
"1076" "fca-6" "Ler" "Ler" "22VarSD" "22VarSDNV" "6B" "Low" "NV" "8" "22" "Var" "Y" "Y" "68" "75" "38" "6" "35" "57.9" 0.604490501
"1077" "fca-6" "Ler" "Ler" "22VarSD" "22VarSDNV" "3B" "High" "NV" "8" "22" "Var" "Y" "Y" "71" "79" "35" "7" NA NA NA
"1078" "fca-6" "Ler" "Ler" "22VarSD" "22VarSDNV" "6B" "Low" "NV" "8" "22" "Var" "Y" "Y" "72" "80" "46" "7" "30.8" "55.4" 0.555956679
"1079" "fca-6" "Ler" "Ler" "22VarSD" "22VarSDNV" "3B" "High" "NV" "8" "22" "Var" "Y" "Y" "72" "80" "42" "9" NA NA NA
"1080" "fca-6" "Ler" "Ler" "22VarSD" "22VarSDNV" "3B" "High" "NV" "8" "22" "Var" "Y" "Y" "76" "83" "43" "8" NA NA NA
"1081" "fca-6" "Ler" "Ler" "22VarSD" "22VarSDNV" "6B" "Low" "NV" "8" "22" "Var" "Y" "Y" "77" "84" "49" "8" "23.3" "49.3" 0.472616633
"1082" "of" "secondary" "at" "bolt" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" NA
"1083" "fca-6" "Ler" "Ler" "22VarSD" "22VarSDNV" "6B" "Low" "NV" "8" "22" "Var" "Y" "Y" "82" "90" "56" "8" "29.1" "54" 0.538888889
"1084" "fca-6" "Ler" "Ler" "22VarSD" "22VarSDNV" "3B" "High" "NV" "8" "22" "Var" "Y" "Y" "88" "97" "52" "6" NA NA NA
"1085" "fkf1-2" "Col" "Col" "12ConLD" "12ConLDNV" "7B" "Low" "NV" "16" "12" "Con" "Y" "Y" "38" "53" "21" "4" "14.9" "28.8" 0.517361111
"1086" "fkf1-2" "Col" "Col" "12ConLD" "12ConLDNV" "7B" "Low" "NV" "16" "12" "Con" "Y" "Y" "39" "54" "22" "5" "17" "28.4" 0.598591549
"1087" "fkf1-2" "Col" "Col" "12ConLD" "12ConLDNV" "4T" "High" "NV" "16" "12" "Con" "Y" "Y" "42" "55" "32" "8" "22.4" "38.3" 0.584856397
"1088" "fkf1-2" "Col" "Col" "12ConLD" "12ConLDNV" "7B" "Low" "NV" "16" "12" "Con" "Y" "Y" "43" "57" "25" "8" "15.1" "24.8" 0.608870968
"1089" "fkf1-2" "Col" "Col" "12ConLD" "12ConLDNV" "4T" "High" "NV" "16" "12" "Con" "Y" "Y" "43" "56" "32" "9" "16.3" "26.2" 0.622137405
"1090" "fkf1-2" "Col" "Col" "12ConLD" "12ConLDNV" "7B" "Low" "NV" "16" "12" "Con" "Y" "Y" "44" "56" "24" "16" "17.9" "34.4" 0.520348837
"1091" "fkf1-2" "Col" "Col" "12ConLD" "12ConLDNV" "4T" "High" "NV" "16" "12" "Con" "Y" "Y" "44" "58" "33" "11" "19.2" "31.9" 0.601880878
"1092" "fkf1-2" "Col" "Col" "12ConLD" "12ConLDNV" "4T" "High" "NV" "16" "12" "Con" "Y" "Y" "46" "60" "33" "10" "16.5" "27" 0.611111111
"1093" "fkf1-2" "Col" "Col" "12ConSD" "12ConSDNV" "3T" "High" "NV" "8" "12" "Con" "Y" "Y" "69" "88" "55" "7" "19" "33.8" 0.562130178
"1094" "fkf1-2" "Col" "Col" "12ConSD" "12ConSDNV" "3T" "High" "NV" "8" "12" "Con" "Y" "Y" "79" "95" "55" "6" "19.5" "31.3" 0.623003195
"1095" "fkf1-2" "Col" "Col" "12ConSD" "12ConSDNV" "3T" "High" "NV" "8" "12" "Con" "Y" "Y" "82" "102" "53" "9" "21" "34.5" 0.608695652
"1096" "fkf1-2" "Col" "Col" "12ConSD" "12ConSDNV" "3T" "High" "NV" "8" "12" "Con" "Y" "Y" "83" "102" "63" "10" "24.1" "37" 0.651351351
"1097" "fkf1-2" "Col" "Col" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "92" "110" "58" "9" "22.4" "36.3" 0.61707989
"1098" "fkf1-2" "Col" "Col" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "92" "111" "58" "11" "21.7" "35.9" 0.604456825
"1099" "fkf1-2" "Col" "Col" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "92" "113" "63" "11" "27.6" "42.3" 0.65248227
"1100" "fkf1-2" "Col" "Col" "12ConSD" "12ConSDNV" "7T" "Low" "NV" "8" "12" "Con" "Y" "Y" "94" "117" "57" "8" "22.5" "35.4" 0.63559322
"1101" "fkf1-2" "Col" "Col" "12VarLD" "12VarLDNV" "3B" "High" "NV" "16" "12" "Var" "Y" "Y" "43" "55" "31" "11" "19.3" "33.2" 0.581325301
"1102" "fkf1-2" "Col" "Col" "12VarLD" "12VarLDNV" "5B" "Low" "NV" "16" "12" "Var" "Y" "Y" "43" "58" "24" "7" "17" "30.5" 0.557377049
"1103" "fkf1-2" "Col" "Col" "12VarLD" "12VarLDNV" "3B" "High" "NV" "16" "12" "Var" "Y" "Y" "44" "56" "35" "10" "18.2" "32.4" 0.561728395
"1104" "fkf1-2" "Col" "Col" "12VarLD" "12VarLDNV" "3B" "High" "NV" "16" "12" "Var" "Y" "Y" "44" "59" "37" "12" "19.4" "31.5" 0.615873016
"1105" "dated" "two" "days" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" NA
"1106" "fkf1-2" "Col" "Col" "12VarLD" "12VarLDNV" "3B" "High" "NV" "16" "12" "Var" "Y" "Y" "46" "58" "30" "10" "20" "32.8" 0.609756098
"1107" "fkf1-2" "Col" "Col" "12VarLD" "12VarLDNV" "5B" "Low" "NV" "16" "12" "Var" "Y" "Y" "46" "60" "34" "9" "19.9" "32.7" 0.608562691
"1108" "fkf1-2" "Col" "Col" "12VarLD" "12VarLDNV" "5B" "Low" "NV" "16" "12" "Var" "Y" "Y" "48" "60" "37" "10" "24.2" "37" 0.654054054
"1109" "fkf1-2" "Col" "Col" "12VarLD" "12VarLDNV" "5B" "Low" "NV" "16" "12" "Var" "Y" "Y" "49" "62" "34" "11" "20.2" "33" 0.612121212
"1110" "fkf1-2" "Col" "Col" "12VarSD" "12VarSDNV" "4B" "High" "NV" "8" "12" "Var" "Y" "Y" "74" "96" "47" "6" "20" "38.6" 0.518134715
"1111" "fkf1-2" "Col" "Col" "12VarSD" "12VarSDNV" "4B" "High" "NV" "8" "12" "Var" "Y" "Y" "74" "94" "49" "6" "22.1" "34.1" 0.648093842
"1112" "fkf1-2" "Col" "Col" "12VarSD" "12VarSDNV" "4B" "High" "NV" "8" "12" "Var" "Y" "Y" "75" "94" "50" "8" "21" "34.5" 0.608695652
"1113" "fkf1-2" "Col" "Col" "12VarSD" "12VarSDNV" "4B" "High" "NV" "8" "12" "Var" "Y" "Y" "78" "97" "57" "11" "32" "49.2" 0.650406504
"1114" "fkf1-2" "Col" "Col" "12VarSD" "12VarSDNV" "5T" "Low" "NV" "8" "12" "Var" "Y" "Y" "81" "98" "51" "6" "25.3" "39.3" 0.643765903
